INVENTORY_YEAR,INVENTORY_MONTH,PRODUCT_NUMBER,INVENTORY_COUNT
2024,4,48,1932
2024,4,49,1400
2024,4,50,21705
2024,4,51,9710
2024,4,52,5616
2024,4,53,7060
2024,4,54,6943
2024,4,55,4432
2024,4,56,14188
2024,4,57,1599
2024,4,58,1645
2024,4,59,749
2024,4,60,8419
2024,4,61,7175
2024,4,62,2428
2024,4,63,2091
2024,4,64,4175
2024,4,65,1754
2024,4,66,576
2024,4,67,1354
2024,4,68,1576
2024,4,69,609
2024,4,70,803
2024,4,71,1009
2024,4,72,1009
2024,4,73,1508
2024,4,74,2690
2024,4,75,2416
2024,4,76,1938
2024,4,77,2354
2024,4,78,1073
2024,4,79,733
2024,4,80,889
2024,4,81,573
2024,4,82,2075
2024,4,83,2034
2024,4,84,-183
2024,4,85,1390
2024,4,86,17366
2024,4,87,19789
2024,4,88,18456
2024,4,89,21414
2024,4,90,29722
2024,4,91,14100
2024,4,92,6273
2024,4,93,17880
2024,4,94,26290
2024,4,95,20552
2024,4,96,3404
2024,4,97,1375
2024,4,98,9473
2024,4,99,4885
2024,4,100,11760
2024,4,101,985
2024,4,102,592
2024,4,103,860
2024,4,104,833
2024,4,105,699
2024,4,106,609
2024,4,107,869
2024,4,108,904
2024,4,109,4337
2024,4,110,813
2024,4,111,662
2024,4,112,3610
2024,4,113,4663
2024,4,114,736
2024,4,115,2766
2024,5,1,3087
2024,5,2,5156
2024,5,3,4422
2024,5,4,5786
2024,5,5,1466
2024,5,6,1102
2024,5,7,3075
2024,5,8,2733
2024,5,9,2393
2024,5,10,2336
2024,5,11,528
2024,5,12,996
2024,5,13,1058
2024,5,14,2816
2024,5,15,820
2024,5,16,36712
2024,5,17,4192
2024,5,18,2994
2024,5,19,2263
2024,5,20,2531
2024,5,21,2567
2024,5,22,753
2024,5,23,737
2024,5,24,2456
2024,5,25,1995
2024,5,26,1896
2024,5,27,1938
2024,5,28,1909
2024,5,29,2944
2024,5,30,3088
2024,5,31,3328
2024,5,32,8827
2024,5,33,9951
2024,5,34,6282
2024,5,35,5405
2024,5,36,7031
2024,5,37,3587
2024,5,38,2069
2024,5,39,4174
2024,5,40,6908
2024,5,41,2425
2024,5,42,3139
2024,5,43,6445
2024,5,44,5530
2024,5,45,1630
2024,5,46,1792
2024,5,47,5737
2024,5,48,1978
2024,5,49,1288
2024,5,50,20355
2024,5,51,9930
2024,5,52,5840
2024,5,53,7510
2024,5,54,7235
2024,5,55,4722
2024,5,56,13708
2024,5,57,1685
2024,5,58,1879
2024,5,59,1005
2024,5,60,10175
2024,5,61,7251
2024,5,62,2816
2024,5,63,2403
2024,5,64,4679
2024,5,65,2386
2024,5,66,680
2024,5,67,1530
2024,5,68,1690
2024,5,69,709
2024,5,70,901
2024,5,71,1073
2024,5,72,1061
2024,5,73,1878
2024,5,74,2758
2024,5,75,2446
2024,5,76,2474
2024,5,77,2600
2024,5,78,997
2024,5,79,873
2024,5,80,1075
2024,5,81,723
2024,5,82,2463
2024,5,83,2266
2024,5,84,-57
2024,5,85,1472
2024,5,86,16850
2024,5,87,19155
2024,5,88,17754
2024,5,89,20090
2024,5,90,28170
2024,5,91,12556
2024,5,92,5877
2024,5,93,16910
2024,5,94,24676
2024,5,95,18706
2024,5,96,3298
2024,5,97,1287
2024,5,98,9037
2024,5,99,4279
2024,5,100,11200
2024,5,101,941
2024,5,102,698
2024,5,103,810
2024,5,104,789
2024,5,105,713
2024,5,106,645
2024,5,107,829
2024,5,108,884
2024,5,109,4035
2024,5,110,597
2024,5,111,556
2024,5,112,3466
2024,5,113,4199
2024,5,114,706
2024,5,115,2598
2024,6,1,2693
2024,6,2,4046
2024,6,3,4738
2024,6,4,6976
2024,6,5,2274
2024,6,6,1004
2024,6,7,2907
2024,6,8,2141
2024,6,9,1901
2024,6,10,6052
2024,6,11,654
2024,6,12,1066
2024,6,13,1106
2024,6,14,3104
2024,6,15,600
2024,6,16,34978
2024,6,17,3958
2024,6,18,3228
2024,6,19,2159
2024,6,20,2053
2024,6,21,2425
2024,6,22,1385
2024,6,23,683
2024,6,24,2524
2024,6,25,2103
2024,6,26,2036
2024,6,27,1960
2024,6,28,2055
2024,6,29,4498
2024,6,30,2582
2024,6,31,4998
2024,6,32,13277
2024,6,33,7995
2024,6,34,11878
2024,6,35,8151
2024,6,36,6007
2024,6,37,3333
2024,6,38,1721
2024,6,39,3484
2024,6,40,11762
2024,6,41,4431
2024,6,42,3065
2024,6,43,6133
2024,6,44,5144
2024,6,45,1528
2024,6,46,1810
2024,6,47,5615
2024,6,48,2102
2024,6,49,1160
2024,6,50,26603
2024,6,51,9530
2024,6,52,5804
2024,6,53,7482
2024,6,54,7479
2024,6,55,4638
2024,6,56,13022
2024,6,57,1703
2024,6,58,1807
2024,6,59,1015
2024,6,60,9335
2024,6,61,7213
2024,6,62,2688
2024,6,63,2341
2024,6,64,4759
2024,6,65,2460
2024,6,66,674
2024,6,67,1484
2024,6,68,1452
2024,6,69,823
2024,6,70,849
2024,6,71,1061
2024,6,72,1037
2024,6,73,2150
2024,6,74,2926
2024,6,75,2558
2024,6,76,2336
2024,6,77,2836
2024,6,78,813
2024,6,79,875
2024,6,80,1101
2024,6,81,669
2024,6,82,2575
2024,6,83,2280
2024,6,84,-297
2024,6,85,1568
2024,6,86,14688
2024,6,87,17797
2024,6,88,15464
2024,6,89,17928
2024,6,90,25234
2024,6,91,10842
2024,6,92,5449
2024,6,93,14198
2024,6,94,22576
2024,6,95,16452
2024,6,96,3060
2024,6,97,1671
2024,6,98,8055
2024,6,99,3945
2024,6,100,10218
2024,6,101,901
2024,6,102,664
2024,6,103,756
2024,6,104,719
2024,6,105,577
2024,6,106,533
2024,6,107,709
2024,6,108,794
2024,6,109,3309
2024,6,110,695
2024,6,111,638
2024,6,112,2670
2024,6,113,6511
2024,6,114,656
2024,6,115,1640
2024,7,1,4111
2024,7,2,6838
2024,7,3,4154
2024,7,4,5612
2024,7,5,1954
2024,7,6,962
2024,7,7,2435
2024,7,8,1903
2024,7,9,1713
2024,7,10,5836
2024,7,11,762
2024,7,12,1376
2024,7,13,1404
2024,7,14,3100
2024,7,15,684
2024,7,16,34376
2024,7,17,4078
2024,7,18,3640
2024,7,19,2529
2024,7,20,1681
2024,7,21,2109
2024,7,22,1293
2024,7,23,943
2024,7,24,2896
2024,7,25,2503
2024,7,26,2044
2024,7,27,2206
2024,7,28,2181
2024,7,29,4204
2024,7,30,2286
2024,7,31,4432
2024,7,32,11789
2024,7,33,6193
2024,7,34,9946
2024,7,35,7349
2024,7,36,10093
2024,7,37,4891
2024,7,38,2511
2024,7,39,5396
2024,7,40,10748
2024,7,41,4207
2024,7,42,3221
2024,7,43,6029
2024,7,44,5214
2024,7,45,1642
2024,7,46,1976
2024,7,47,5771
2024,7,48,2182
2024,7,49,1044
2024,7,50,25221
2024,7,51,9914
2024,7,52,6040
2024,7,53,7392
2024,7,54,7717
2024,7,55,5064
2024,7,56,12540
2024,7,57,1747
2024,7,58,1991
2024,7,59,1193
2024,7,60,10951
2024,7,61,7445
2024,7,62,2962
2024,7,63,2281
2024,7,64,5219
2024,7,65,2704
2024,7,66,794
2024,7,67,1588
2024,7,68,1610
2024,7,69,963
2024,7,70,959
2024,7,71,1081
2024,7,72,1135
2024,7,73,2384
2024,7,74,2512
2024,7,75,2724
2024,7,76,2414
2024,7,77,2868
2024,7,78,969
2024,7,79,823
2024,7,80,1213
2024,7,81,525
2024,7,82,2733
2024,7,83,2508
2024,7,84,733
2024,7,85,1674
2024,7,86,19364
2024,7,87,23343
2024,7,88,20070
2024,7,89,19840
2024,7,90,27758
2024,7,91,12332
2024,7,92,5883
2024,7,93,18740
2024,7,94,26988
2024,7,95,22414
2024,7,96,2716
2024,7,97,1527
2024,7,98,8761
2024,7,99,6361
2024,7,100,8862
2024,7,101,1021
2024,7,102,780
2024,7,103,716
2024,7,104,707
2024,7,105,717
2024,7,106,591
2024,7,107,697
2024,7,108,754
2024,7,109,3067
2024,7,110,539
2024,7,111,586
2024,7,112,2234
2024,7,113,6227
2024,7,114,630
2024,7,115,1074
2024,8,1,5051
2024,8,2,6222
2024,8,3,5554
2024,8,4,4402
2024,8,5,1724
2024,8,6,876
2024,8,7,2257
2024,8,8,4065
2024,8,9,1539
2024,8,10,5350
2024,8,11,920
2024,8,12,1336
2024,8,13,1650
2024,8,14,3582
2024,8,15,856
2024,8,16,32604
2024,8,17,4288
2024,8,18,3806
2024,8,19,3017
2024,8,20,3553
2024,8,21,4489
2024,8,22,1205
2024,8,23,831
2024,8,24,2064
2024,8,25,2739
2024,8,26,2210
2024,8,27,2352
2024,8,28,2451
2024,8,29,3762
2024,8,30,3944
2024,8,31,4006
2024,8,32,10297
2024,8,33,11819
2024,8,34,9050
2024,8,35,6697
2024,8,36,8881
2024,8,37,4471
