SALES_STAFF_CODE,SALES_YEAR,SALES_PERIOD,RETAILER_NAME,PRODUCT_NUMBER,SALES_TARGET,RETAILER_CODE
6,2024,5,Altitudes extrêmes,53,489,33
6,2024,5,Altitudes extrêmes,55,666,33
6,2024,5,Altitudes extrêmes,56,682,33
6,2024,5,Camping Sauvage,76,3193,35
6,2024,5,Camping Sauvage,85,7236,35
6,2024,5,Altitudes extrêmes,92,122,33
6,2024,6,ActiForme,36,2708,1
6,2024,6,ActiForme,42,1299,1
6,2024,6,ActiForme,58,2630,1
6,2024,8,Anapurna,15,10616,23
6,2024,8,Cordages Discount,15,6852,32
6,2024,8,Anapurna,22,147,23
6,2024,8,Cordages Discount,24,4983,32
6,2024,8,Cordages Discount,29,2590,32
6,2024,8,Anapurna,33,3408,23
6,2024,8,Cordages Discount,33,3217,32
6,2024,8,Cordages Discount,38,1211,32
6,2024,8,Cordages Discount,40,2984,32
6,2024,8,Anapurna,42,1458,23
6,2024,8,Anapurna,45,9171,23
6,2024,8,Anapurna,47,555,23
6,2024,8,Anapurna,53,921,23
6,2024,8,Anapurna,54,1989,23
6,2024,8,Anapurna,59,755,23
6,2024,8,Anapurna,73,401,23
6,2024,8,Cordages Discount,88,482,32
6,2024,8,Anapurna,92,122,23
6,2024,8,Anapurna,94,612,23
6,2024,8,Anapurna,95,569,23
6,2024,8,Cordages Discount,96,492,32
6,2024,8,Anapurna,97,274,23
6,2024,8,Anapurna,112,232,23
6,2024,10,Camping Sauvage,2,672,35
6,2024,10,Camping Sauvage,3,1225,35
6,2024,10,Camping Sauvage,15,15148,35
6,2024,10,Camping Sauvage,32,1254,35
6,2024,10,Grand choix,32,3640,37
6,2024,10,Grand choix,33,1600,37
6,2024,10,Camping Sauvage,40,3170,35
6,2024,10,Altitudes extrêmes,41,888,33
6,2024,10,Altitudes extrêmes,44,5473,33
6,2024,10,Altitudes extrêmes,45,2428,33
6,2024,10,Altitudes extrêmes,52,997,33
6,2024,10,Altitudes extrêmes,57,780,33
6,2024,10,Altitudes extrêmes,60,170,33
6,2024,10,Camping Sauvage,71,1687,35
6,2024,10,Camping Sauvage,77,4357,35
6,2024,10,Altitudes extrêmes,82,1010,33
6,2024,10,Camping Sauvage,84,2602,35
6,2024,10,Grand choix,103,2767,37
6,2025,1,Camping Sauvage,1,1004,35
6,2025,1,Camping Sauvage,9,606,35
6,2025,1,Camping Sauvage,10,644,35
6,2025,1,Camping Sauvage,13,19977,35
6,2025,1,Camping Sauvage,14,43130,35
6,2025,1,Camping Sauvage,15,18525,35
6,2025,1,Camping Sauvage,23,1002,35
6,2025,1,Camping Sauvage,36,3779,35
6,2025,1,Camping Sauvage,72,7413,35
6,2025,1,Camping Sauvage,94,937,35
6,2025,5,ActiForme,12,57064,1
6,2025,5,Grand choix,33,1505,37
6,2025,5,Grand choix,36,2611,37
6,2025,5,ActiForme,60,341,1
6,2025,5,Grand choix,63,1960,37
6,2025,5,Grand choix,73,393,37
6,2025,5,Grand choix,106,21017,37
6,2025,5,Grand choix,108,5215,37
6,2025,5,Grand choix,115,776,37
6,2025,6,Anapurna,1,909,23
6,2025,6,Grand choix,3,1484,37
6,2025,6,Anapurna,6,1363,23
6,2025,6,Anapurna,10,355,23
6,2025,6,Grand choix,14,34464,37
6,2025,6,Anapurna,23,1603,23
6,2025,6,Anapurna,40,5704,23
6,2025,6,Anapurna,41,1366,23
6,2025,6,Anapurna,45,9379,23
6,2025,6,Anapurna,50,995,23
6,2025,6,Anapurna,51,5037,23
6,2025,6,Anapurna,56,1035,23
6,2025,6,Grand choix,64,2727,37
6,2025,6,Grand choix,65,3908,37
6,2025,6,Anapurna,68,4635,23
6,2025,6,Anapurna,75,5001,23
6,2025,6,Anapurna,77,8351,23
6,2025,6,Grand choix,87,564,37
6,2025,6,Anapurna,96,441,23
6,2025,6,Grand choix,101,13539,37
6,2025,6,Grand choix,103,5681,37
6,2025,6,Anapurna,108,5215,23
6,2025,6,Anapurna,109,3157,23
6,2025,11,La bonne Forme,54,409,125
6,2025,11,La bonne Forme,81,3636,125
6,2025,11,La bonne Forme,88,1143,125
7,2023,2,Cordages Discount,35,1923,32
7,2023,2,Cordages Discount,88,922,32
7,2023,3,La bonne Forme,80,5895,125
7,2023,3,La bonne Forme,87,2212,125
7,2023,3,La bonne Forme,88,1729,125
7,2023,3,La bonne Forme,94,708,125
7,2023,4,Grand choix,8,4976,37
7,2023,4,Altitudes extrêmes,20,4173,33
7,2023,4,ActiForme,23,918,1
7,2023,4,Grand choix,31,1082,37
7,2023,4,Altitudes extrêmes,82,1252,33
7,2023,4,Altitudes extrêmes,83,2402,33
7,2023,4,ActiForme,84,2216,1
7,2023,4,Altitudes extrêmes,85,5691,33
7,2023,4,Grand choix,87,969,37
7,2023,4,Grand choix,89,1359,37
7,2023,4,Altitudes extrêmes,90,785,33
7,2023,4,Grand choix,93,429,37
7,2023,4,Grand choix,114,729,37
7,2023,4,Grand choix,115,374,37
7,2023,5,ActiForme,21,1659,1
7,2023,5,ActiForme,23,918,1
7,2023,6,Camping Sauvage,1,746,35
7,2023,6,Camping Sauvage,3,2176,35
7,2023,6,Camping Sauvage,4,257,35
7,2023,6,Camping Sauvage,6,2015,35
7,2023,6,Grand choix,7,1409,37
7,2023,6,Camping Sauvage,13,21408,35
7,2023,6,Grand choix,17,8078,37
7,2023,6,Camping Sauvage,20,3074,35
7,2023,6,Grand choix,24,4595,37
7,2023,6,Altitudes extrêmes,26,13814,33
7,2023,6,Camping Sauvage,31,899,35
7,2023,6,Grand choix,33,1863,37
7,2023,6,Camping Sauvage,39,4161,35
7,2023,6,Grand choix,39,3573,37
7,2023,6,Camping Sauvage,40,4203,35
7,2023,6,Camping Sauvage,72,2955,35
7,2023,6,Camping Sauvage,73,869,35
7,2023,6,Grand choix,73,352,37
7,2023,6,Camping Sauvage,76,1568,35
7,2023,6,Altitudes extrêmes,83,2242,33
7,2023,6,Camping Sauvage,85,4262,35
7,2023,6,Grand choix,87,725,37
7,2023,6,Camping Sauvage,91,857,35
7,2023,6,Camping Sauvage,92,175,35
7,2023,6,Camping Sauvage,94,1143,35
7,2023,6,Grand choix,95,663,37
7,2023,6,Grand choix,96,466,37
7,2023,6,Camping Sauvage,99,416,35
7,2023,6,Grand choix,103,1718,37
7,2023,6,Grand choix,106,10021,37
7,2023,6,Grand choix,112,505,37
7,2023,6,Grand choix,115,358,37
7,2023,7,ActiForme,12,32223,1
7,2023,7,La bonne Forme,28,986,125
7,2023,7,Grand choix,29,1851,37
7,2023,7,Grand choix,30,564,37
7,2023,7,Grand choix,63,1786,37
7,2023,7,La bonne Forme,71,2475,125
7,2023,7,Grand choix,101,9696,37
7,2023,7,Grand choix,108,4537,37
7,2023,7,Grand choix,113,369,37
7,2023,7,Grand choix,115,285,37
7,2023,9,Camping Sauvage,4,322,35
7,2023,9,Camping Sauvage,24,3713,35
7,2023,9,Camping Sauvage,26,8320,35
7,2023,9,Camping Sauvage,31,1180,35
7,2023,9,Camping Sauvage,91,529,35
7,2023,9,Camping Sauvage,93,157,35
7,2023,9,Camping Sauvage,99,366,35
7,2023,10,Anapurna,1,372,23
7,2023,10,Grand choix,3,1684,37
7,2023,10,Grand choix,5,1767,37
7,2023,10,La bonne Forme,11,7026,125
7,2023,10,Grand choix,12,31319,37
7,2023,10,Grand choix,14,27437,37
7,2023,10,Cordages Discount,17,6559,32
7,2023,10,Anapurna,20,6042,23
7,2023,10,Anapurna,23,918,23
7,2023,10,Grand choix,23,1469,37
7,2023,10,La bonne Forme,26,11527,125
7,2023,10,Grand choix,30,739,37
7,2023,10,Grand choix,32,3509,37
7,2023,10,Cordages Discount,63,3037,32
7,2023,10,Grand choix,74,930,37
7,2023,10,Grand choix,76,4622,37
7,2023,10,Cordages Discount,86,1228,32
7,2023,10,Grand choix,86,858,37
7,2023,10,Grand choix,101,7542,37
7,2023,10,Anapurna,106,8168,23
7,2023,10,Grand choix,106,10021,37
7,2023,10,Anapurna,109,1561,23
7,2023,10,Grand choix,109,1892,37
7,2023,10,Grand choix,112,689,37
7,2023,10,Grand choix,113,398,37
7,2023,10,Grand choix,114,1157,37
7,2023,11,Camping Sauvage,3,2176,35
7,2023,11,Camping Sauvage,4,322,35
7,2023,11,Camping Sauvage,25,18254,35
7,2023,11,Camping Sauvage,39,4587,35
7,2023,12,La bonne Forme,18,7232,125
7,2023,12,La bonne Forme,27,4729,125
7,2023,12,La bonne Forme,29,1894,125
7,2023,12,La bonne Forme,69,1086,125
7,2023,12,La bonne Forme,81,2256,125
7,2023,12,La bonne Forme,86,747,125
